area,total,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
Abbotts Park,178,13,21,16,18,12,12,10,18,12,13,18,15
Akarana,111,9,8,11,11,9,5,12,6,16,7,14,3
Albany,1077,99,96,110,92,89,89,99,73,53,97,91,89
Algies Bay,5,1,1,0,0,2,0,0,0,0,0,0,1
Ambury,57,6,4,3,4,1,9,12,3,4,1,6,4
Aorere,103,4,10,11,9,18,6,8,3,4,5,7,18
Arahanga,47,1,4,3,4,10,7,4,2,3,2,4,3
Arch Hill,91,4,10,7,6,6,11,7,7,8,7,13,5
Ardmore,70,2,4,7,7,8,5,7,7,4,12,4,3
Armour Bay,4,0,0,0,0,1,0,0,0,3,0,0,0
Army Bay,32,1,2,3,2,6,2,3,3,7,2,0,1
Auckland Central East,1408,101,133,113,133,138,105,118,109,148,96,106,108
Auckland Central West,3247,281,289,254,247,270,287,284,244,251,284,289,267
Auckland City-Marinas,1,0,0,0,0,0,0,0,0,0,1,0,0
Auckland Harbourside,1168,112,91,83,91,115,76,76,77,135,110,91,111
Avondale South,61,1,3,2,5,8,2,6,4,8,6,6,10
Avondale West,121,8,16,14,9,11,5,5,15,11,12,9,6
Awaruku,21,3,1,1,3,6,0,0,5,0,1,1,0
Awhitu,20,1,1,1,3,3,0,1,0,5,1,2,2
Balmoral,352,22,43,21,14,31,31,37,28,24,32,39,30
Baverstock Oaks,53,5,2,5,13,2,5,4,5,3,2,5,2
Bays-Waiheke Island,1,0,0,0,0,0,0,0,0,0,0,0,1
Bayswater,24,2,2,0,3,2,1,2,1,5,1,3,2
Beachhaven North,84,8,9,8,10,10,9,3,4,7,6,5,5
Beachhaven South,50,6,3,6,5,4,3,3,1,7,3,8,1
Beachlands-Maraetai,70,6,2,6,5,12,14,8,3,3,2,7,2
Beaumont,116,8,9,9,9,9,14,10,13,10,8,8,9
Birdwood East,48,5,5,2,4,6,7,3,5,5,2,1,3
Birdwood West,13,0,1,0,3,0,2,1,1,4,1,0,0
Birkdale North,40,5,1,2,6,3,2,4,2,5,4,2,4
Birkdale South,28,1,9,1,4,2,4,3,2,1,0,1,0
Birkenhead East,94,6,5,7,5,9,12,5,4,10,6,16,9
Bleakhouse,12,1,0,2,0,1,2,1,0,1,1,2,1
Bledisloe Park,820,74,64,65,75,71,66,57,65,69,69,76,69
Blockhouse Bay,180,39,28,25,16,10,9,6,9,9,10,7,12
Bombay,228,16,18,15,18,13,28,12,34,29,15,13,17
Bremner,43,7,0,6,0,4,3,8,3,2,3,1,6
Browns Bay,331,30,32,31,27,23,32,58,12,24,24,24,14
Buckland,5,2,0,0,0,1,0,1,0,0,0,1,0
Bucklands Beach South,26,2,3,5,3,3,1,3,0,1,1,1,3
Bucklands and Eastern Beaches,45,6,3,2,2,7,2,4,4,2,4,1,8
Burbank,52,3,6,1,9,5,3,5,3,4,4,3,6
Burswood,204,30,20,18,19,20,14,15,14,16,14,10,14
Campbells Bay,10,3,0,1,0,1,1,1,1,2,0,0,0
Cape Rodney,43,2,1,1,5,6,1,6,1,9,5,3,3
Cape Rodney South,53,7,4,3,3,5,4,3,8,8,3,3,2
Castor Bay,16,2,2,1,2,2,0,0,1,0,1,4,1
Chelsea,101,2,5,9,12,4,7,26,9,7,6,5,9
Clendon North,25,2,2,2,1,3,1,2,2,3,2,2,3
Clendon South,451,47,33,45,58,28,25,27,36,36,55,46,15
Clevedon,71,6,8,3,6,8,6,6,5,10,3,5,5
