suburb,total_crimes_2025
Manukau Central,3750
Auckland Central West,3360
Takanini South,2287
Henderson South,2081
Mt Wellington South,1635
Auckland Central East,1554
Lynnmall,1448
Papakura Central,1372
Sandringham North,1279
Westgate,1240
Albany,1222
Newmarket,1198
Mangere Central,919
Mangere South,911
Silverdale Central,884
Papatoetoe Central,874
Kingdale,837
Henderson North,826
Whenuapai West,820
Westlake,812
Bledisloe Park,802
Glenfield Central,770
Point Chevalier East,748
Pukekohe North,632
Dannemora,629
Hillsborough East,596
Clendon South,579
Papakura North,578
Otahuhu West,572
Mt Wellington North,567
Manurewa Central,556
Ormiston,532
Rongomai,504
New Lynn North,504
Wesley,500
Fairdene,497
Three Kings,497
Glen Innes West,497
Greenmount,495
Remuera South,490
Hamlin,479
Dingwall,474
Onehunga South East,472
Te Atatu Central,450
Walmsley,443
Takanini West,431
Wiri,424
St Lukes,413
Warkworth,395
Browns Bay,379
Mt Wellington West,375
Tuff Crater,373
Glen Eden East,365
Rosehill,360
Hillsborough West,357
Royal Oak,353
Epsom North,344
Hobsonville East,338
Sandringham West,337
Hingaia,326
Takanini North,324
Millhouse,323
Takapuna Central,323
Blockhouse Bay,313
Papakura North East,312
Westmere,307
Pakuranga Central,305
Papatoetoe North,302
Balmoral,300
Kauri Park,300
Windsor Park,298
Glenavon,297
Meadowland,294
Grey Lynn East,291
Dairy Flat-Redvale,290
Mangere East,288
Green Bay,282
Newton,281
St Johns,268
Harania West,265
Burswood,264
Mt Eden North,263
Roberton,258
Huapai,257
Donegal Park,256
Highbrook,254
Puhinui South,252
Pukekohe West,245
Pinehill,242
Mangere Bridge,240
Waiuku East,237
Highland Park,227
Mt Hobson,225
Grafton East,225
Kelston Central,221
Paremoremo East,220
North Harbour East,220
Bombay,217
Lynfield South,217
Abbotts Park,216
Homai East,211
Glenfield North,210
Leabank,209
Manurewa East,209
Hillpark,207
Parnell West,207
Papatoetoe East,207
Kingseat,206
Orewa,206
Mt Albert Central,204
Target Road,200
Edmonton,193
Papatoetoe West,187
Freemans Bay,187
Kingsland,184
Otara North,182
Howick Central,181
Fairburn,179
Weiti River,179
Papakura East,178
Stonefields,169
Mission Bay,167
Lake Pupuke,164
One Tree Hill Central,162
Glendene South,162
Springleigh,159
Wade Heads,156
Mascot,154
Pigeon Mountain South,153
Avondale West,152
Tamaki,151
Royal Heights,147
Ponsonby East,147
Sturges North,143
Waiuku West,142
Kohuora,139
Penrose,138
Sunnybrae,138
Mt Wellington Domain,137
Drury,136
Fruitvale,134
Surrey Crescent,132
Te Papapa,127
Orakei North,127
