area,dwell,nBedrms,nLodged,nClosed,nCurr,mean,lq,med,uq,sd,brr,lmean,lsd,slq,suq
Algies Bay-Scotts Landing,House,3,6,9,21,649,610,640,648,69,2.53,6.4713,0.101,604,692
Algies Bay-Scotts Landing,House,NA,6,3,6,734,708,760,775,80,4,6.5934,0.115,676,789
Cape Rodney,House,1,6,3,12,451,340,463,551,153,3.3,6.0583,0.3652,334,547
Cape Rodney,House,2,9,3,24,556,500,570,635,98,3.76,6.3057,0.1884,482,622
Cape Rodney,House,3,21,18,60,610,553,630,678,113,3.65,6.3943,0.2126,518,691
Cape Rodney,House,4,6,9,21,820,675,790,935,220,3.88,6.6827,0.2653,668,955
Cape Rodney,House,NA,6,9,15,918,715,825,1013,375,3.77,6.7531,0.3915,658,1116
Dairy Flat North,Flat,1,6,3,3,400,350,388,438,114,3.17,5.9613,0.2842,320,470
Dairy Flat North,Flat,2,6,0,9,513,490,540,563,78,4,6.2297,0.1637,455,567
Dairy Flat North,House,1,9,3,6,772,465,500,1100,418,4,6.5238,0.5375,474,979
Dairy Flat North,House,2,24,6,45,627,553,600,648,135,3.88,6.4193,0.2178,530,711
Dairy Flat North,House,3,36,6,63,752,705,750,800,146,4,6.5971,0.2582,616,872
Dairy Flat North,House,4,75,12,132,885,846,860,900,136,3.89,6.7742,0.1483,792,967
Dairy Flat North,House,5+,18,9,48,1152,940,1000,1210,329,3.87,7.0169,0.2472,944,1318
Dairy Flat North,House,NA,51,12,66,839,680,833,903,238,4.06,6.6959,0.2667,676,969
Dairy Flat West,House,2,9,9,33,603,580,600,635,40,3.87,6.3992,0.0661,575,629
Dairy Flat West,House,3,6,6,30,783,683,750,878,148,4,6.649,0.1855,681,875
Dairy Flat West,House,4,9,9,33,1077,710,800,1450,436,4,6.9118,0.3915,771,1307
Dairy Flat West,House,5+,6,6,9,1408,1038,1215,1585,555,4,7.1976,0.3614,1047,1705
Dairy Flat West,House,NA,6,3,12,783,691,695,886,141,4,6.6509,0.1716,689,868
Dome Valley-Matakana,House,2,6,6,12,570,550,550,570,40,3.04,6.3439,0.0679,544,596
Dome Valley-Matakana,House,3,9,9,21,726,650,650,700,216,3.56,6.5556,0.2518,593,833
Dome Valley-Matakana,House,4,9,3,18,743,670,815,850,185,3.4,6.5778,0.2834,594,870
