area,dwell,nBedrms,nLodged,nClosed,nCurr,mean,lq,med,uq,sd,brr,lmean,lsd,slq,suq
Aka Aka,House,1,6,0,3,578,475,610,678,133,4.39,6.3365,0.2425,480,665
Aka Aka,House,3,9,6,42,577,460,600,650,111,3.66,6.3416,0.1942,498,647
Akoranga,House,1,6,0,6,780,758,775,798,54,4.46,6.6575,0.0682,744,815
Akoranga,House,2,6,6,9,533,460,530,603,84,4,6.2682,0.1583,474,587
Akoranga,House,4,6,0,12,880,880,880,880,,4.5,6.7799,0,880,880
Albany Central,Apartment,1,33,36,84,519,430,580,600,133,3.81,6.199,0.3833,380,637
Albany Central,Apartment,2,36,45,96,693,650,690,750,70,3.91,6.5359,0.1021,644,739
Albany Central,Apartment,3,12,15,21,832,753,865,890,84,3.6,6.7191,0.1039,772,888
Albany Central,House,1,60,3,63,615,573,635,680,130,4.01,6.3955,0.241,509,705
Albany Central,House,NA,27,30,69,650,598,630,680,72,3.96,6.4714,0.1068,601,695
Albany Heights,Apartment,2,6,9,12,586,564,593,611,44,3.89,6.3702,0.0755,555,615
Albany Heights,Apartment,NA,6,6,6,435,435,450,450,30,2.23,6.0735,0.0716,414,456
Albany Heights,House,1,39,3,42,777,650,750,850,268,4.21,6.5895,0.3912,559,947
Albany Heights,House,2,6,9,18,581,530,560,624,90,3.66,6.3538,0.1529,518,637
Albany Heights,House,3,36,36,96,717,685,715,763,99,3.78,6.5651,0.1435,644,782
Albany Heights,House,4,24,18,66,900,799,850,888,217,4.13,6.7828,0.1825,780,998
Albany Heights,House,5+,9,6,36,1118,988,1100,1200,169,4.22,7.0089,0.15,1000,1224
Albany Heights,House,NA,21,27,60,780,685,730,845,200,4.08,6.6321,0.2311,650,887
Albany Heights,Room,1,15,3,12,393,250,485,485,118,3.67,5.9259,0.3335,299,469
Albany Heights,Room,NA,33,33,33,257,245,245,250,48,2.89,5.5387,0.1452,231,281
Albany South,Apartment,2,9,15,24,584,530,560,625,66,4,6.3638,0.1106,539,625
Albany South,House,1,33,6,39,719,530,795,850,204,4.26,6.5327,0.3193,554,852
Albany South,House,2,6,9,15,655,573,610,693,135,3.76,6.4699,0.194,566,736
Albany South,House,3,12,15,96,733,699,755,805,183,4.03,6.5486,0.3788,541,902
Albany South,House,4,24,30,96,847,843,893,944,214,4.24,6.6878,0.3929,616,1046
Albany South,House,NA,6,6,18,866,616,858,1148,308,3.9,6.7069,0.3756,635,1054
Albany West,House,1,12,0,12,866,798,873,938,167,4.26,6.7461,0.198,744,972
Albany West,House,2,6,6,21,560,543,550,565,32,4,6.3266,0.056,539,581
Albany West,House,3,12,15,39,753,728,770,780,48,4.1,6.6215,0.0659,718,785
Albany West,House,4,21,21,69,921,845,950,975,130,3.86,6.8163,0.1363,832,1000
Albany West,House,5,6,15,12,761,729,745,774,49,3.92,6.6332,0.0622,729,792
Albany West,House,5+,9,6,21,1164,980,1000,1180,346,3.77,7.0282,0.2545,950,1339
Alfriston,House,1,45,0,45,558,380,520,693,256,4.06,6.2293,0.4523,374,688
Alfriston,House,2,9,6,24,420,237,500,570,196,3.61,5.9161,0.5506,256,538
Alfriston,House,3,18,12,66,697,650,735,765,96,3.82,6.5356,0.1652,617,770
Alfriston,House,4,15,12,69,796,780,795,810,36,4.07,6.6791,0.0447,772,820
Alfriston,House,NA,30,27,45,596,380,550,750,283,3.75,6.304,0.4047,416,718
Algies Bay-Scotts Landing,House,1,6,0,9,638,601,665,688,64,4,6.4544,0.105,592,682
Anselmi Ridge,House,1,15,3,12,710,670,705,750,93,4.56,6.5581,0.1294,646,769
Anselmi Ridge,House,3,27,9,45,633,620,635,670,85,3.88,6.4406,0.145,568,691
Anselmi Ridge,House,4,12,15,39,775,720,740,809,82,4,6.6479,0.1008,720,825
