area,dwell,nBedrms,nLodged,nClosed,nCurr,mean,lq,med,uq,sd,brr,lmean,lsd,slq,suq
Albany Ward,Apartment,1,138,123,318,532,460,540,595,164,3.65,6.2423,0.2693,429,616
Albany Ward,Apartment,2,273,234,639,627,575,615,670,85,3.76,6.432,0.1314,569,679
Albany Ward,Apartment,3,63,66,162,759,655,730,800,224,3.69,6.6016,0.2338,629,862
Albany Ward,Apartment,4,6,3,33,887,660,720,863,410,3.5,6.7198,0.3752,643,1067
Albany Ward,Apartment,NA,12,18,39,531,450,508,625,97,3.52,6.2598,0.1838,462,592
Albany Ward,Boarding House,1,9,6,30,413,340,380,525,134,3.36,5.9716,0.3599,308,500
Albany Ward,Flat,1,87,90,312,462,400,460,500,106,3.53,6.1079,0.2533,379,533
Albany Ward,Flat,2,99,132,420,560,500,565,600,118,3.66,6.3061,0.2182,473,635
Albany Ward,Flat,3,12,9,81,629,603,650,665,76,3.53,6.4364,0.1264,573,680
Albany Ward,House,1,1314,123,1470,748,600,700,850,220,4.26,6.5767,0.2863,592,871
Albany Ward,House,2,555,522,1635,617,570,613,650,105,3.81,6.4071,0.236,517,711
Albany Ward,House,3,1107,1104,3795,743,680,730,790,152,3.84,6.5932,0.1979,639,834
Albany Ward,House,4,843,873,2868,898,800,875,950,225,3.91,6.77,0.3151,704,1078
Albany Ward,House,5,33,39,105,966,789,950,1100,297,3.94,6.8316,0.293,760,1129
Albany Ward,House,5+,339,312,1053,1063,950,1050,1200,257,3.88,6.9307,0.305,833,1257
Albany Ward,House,NA,573,474,1605,774,630,750,880,223,4.05,6.5931,0.5529,503,1060
Albany Ward,Room,1,99,78,309,391,285,400,420,179,3.4,5.8972,0.3714,283,468
Albany Ward,Room,NA,66,87,84,337,245,393,401,99,3.41,5.7779,0.2924,265,394
Albert-Eden-Roskill Ward,Apartment,1,297,273,702,500,450,490,550,88,3.76,6.1971,0.1903,432,559
Albert-Eden-Roskill Ward,Apartment,2,486,375,1197,631,551,620,684,121,3.71,6.4277,0.2134,536,715
Albert-Eden-Roskill Ward,Apartment,3,114,75,267,740,660,700,780,168,4.18,6.5825,0.2237,621,840
Albert-Eden-Roskill Ward,Apartment,4,12,6,24,897,883,900,938,96,4.03,6.7938,0.1095,829,961
Albert-Eden-Roskill Ward,Apartment,NA,87,24,105,632,540,595,695,196,4.04,6.4218,0.2127,533,710
Albert-Eden-Roskill Ward,Boarding House,1,138,96,123,272,235,275,294,89,2.92,5.5567,0.316,209,320
Albert-Eden-Roskill Ward,Boarding House,NA,33,45,33,296,240,300,350,99,3.09,5.6303,0.3609,219,356
Albert-Eden-Roskill Ward,Flat,1,303,345,1257,465,420,460,500,102,3.77,6.112,0.274,375,543
Albert-Eden-Roskill Ward,Flat,2,402,561,2085,570,520,570,608,134,3.76,6.316,0.2722,461,665
Albert-Eden-Roskill Ward,Flat,3,42,84,258,691,650,685,743,109,3.62,6.5228,0.194,597,776
Albert-Eden-Roskill Ward,Flat,NA,6,15,33,416,90,213,539,503,3.8,5.4597,1.2293,103,539
Albert-Eden-Roskill Ward,House,1,1404,183,1629,709,540,650,800,296,4.01,6.4848,0.415,495,867
Albert-Eden-Roskill Ward,House,2,558,555,1839,651,570,628,695,171,3.8,6.4526,0.2276,544,740
Albert-Eden-Roskill Ward,House,3,1053,1116,3858,765,680,750,850,179,3.8,6.6125,0.2672,622,891
Albert-Eden-Roskill Ward,House,4,564,531,1938,971,825,930,1100,272,3.83,6.8365,0.3084,756,1147
Albert-Eden-Roskill Ward,House,5,33,33,93,725,265,785,1097,468,3.92,6.3548,0.7114,356,929
Albert-Eden-Roskill Ward,House,5+,195,183,660,1096,950,1100,1295,368,3.81,6.9261,0.4286,763,1360
Albert-Eden-Roskill Ward,House,NA,396,474,1071,761,560,715,883,332,3.87,6.557,0.397,539,920
Albert-Eden-Roskill Ward,Room,1,72,57,180,353,296,350,380,129,3.01,5.7882,0.5176,230,463
Albert-Eden-Roskill Ward,Room,NA,21,18,24,355,300,350,410,102,2.84,5.8291,0.3063,277,418
Franklin Ward,Apartment,1,24,18,54,408,390,400,430,26,4.07,6.0095,0.0633,390,425
Franklin Ward,Apartment,2,45,24,63,531,500,530,550,83,3.62,6.2636,0.1584,472,584
Franklin Ward,Apartment,3,6,3,12,584,560,570,599,38,3.68,6.3685,0.063,559,608
Franklin Ward,Flat,1,24,30,111,429,379,410,456,106,3.18,6.0393,0.202,366,481
Franklin Ward,Flat,2,30,42,162,503,454,498,543,81,3.98,6.2081,0.1538,448,551
Franklin Ward,House,1,483,48,546,667,560,650,750,188,4.26,6.4578,0.3278,511,795
Franklin Ward,House,2,243,219,708,558,500,550,600,113,3.79,6.3013,0.2395,464,641
Franklin Ward,House,3,570,552,1893,651,590,630,675,175,3.83,6.4525,0.2654,530,759
Franklin Ward,House,4,354,348,1128,778,700,750,830,154,3.91,6.6389,0.1848,675,866
Franklin Ward,House,5+,63,63,228,988,815,880,1100,334,3.86,6.8426,0.3442,743,1182
Franklin Ward,House,NA,273,204,645,712,620,690,780,160,4,6.5463,0.2073,606,801
Howick Ward,Apartment,1,36,51,99,486,420,500,500,98,3.93,6.1671,0.1951,418,544
Howick Ward,Apartment,2,150,120,366,577,550,580,600,47,3.92,6.3542,0.0833,543,608
Howick Ward,Apartment,3,36,33,99,662,633,665,699,59,3.8,6.491,0.0908,620,701
Howick Ward,Boarding House,1,24,9,27,458,375,523,558,139,2.98,6.066,0.3845,333,559
Howick Ward,Boarding House,NA,12,15,18,424,319,420,493,128,2.4,6.0067,0.3076,330,500
Howick Ward,Flat,1,51,48,207,477,380,450,500,193,3.62,6.1187,0.2839,375,550
Howick Ward,Flat,2,150,165,669,560,500,550,595,95,3.42,6.3129,0.1788,489,622
Howick Ward,Flat,3,27,36,114,629,600,650,700,122,3.71,6.4226,0.2243,529,716
Howick Ward,House,1,966,78,1053,736,600,710,850,199,4.2,6.5619,0.2948,580,863
Howick Ward,House,2,459,423,1431,605,550,600,650,126,3.72,6.387,0.193,522,677
Howick Ward,House,3,1032,1113,3825,710,660,700,750,105,3.91,6.556,0.1367,641,771
Howick Ward,House,4,735,726,2655,849,790,830,870,335,3.86,6.7237,0.1687,742,932
Howick Ward,House,5,24,24,117,915,849,893,950,142,3.79,6.8092,0.1423,823,997
Howick Ward,House,5+,333,294,1014,1030,900,990,1150,239,3.88,6.9075,0.2603,839,1192
Howick Ward,House,NA,414,444,1287,784,650,750,850,317,3.94,6.6206,0.2785,622,905
Howick Ward,Room,1,18,21,69,450,305,488,550,179,3.5,6.0233,0.4443,306,557
Howick Ward,Room,NA,12,9,27,416,273,470,550,161,3.19,5.942,0.4689,277,522
Manukau Ward,Apartment,1,153,171,519,408,385,420,469,114,3.81,5.9482,0.4174,289,508
Manukau Ward,Apartment,2,156,114,378,522,500,540,560,87,3.9,6.2082,0.5395,345,715
Manukau Ward,Apartment,3,27,24,75,621,599,645,656,95,3.93,6.4144,0.2076,531,702
Manukau Ward,Boarding House,1,87,39,234,324,265,350,400,87,3.9,5.7352,0.3301,248,387
Manukau Ward,Flat,1,87,126,543,427,395,425,460,72,3.77,6.0391,0.2166,362,486
Manukau Ward,Flat,2,186,336,1305,508,470,520,570,125,3.76,6.1758,0.3995,367,630
Manukau Ward,Flat,3,24,45,150,612,560,635,694,109,3.77,6.3998,0.1973,527,687
