source_area,linz_suburb,status,via,reason_if_not_mapped
Abbotts Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Akarana,Northcote,mapped,previous-mapping,
Albany,Albany,mapped,exact,
Algies Bay,,not mapped,,outer Auckland — outside coverage area
Ambury,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Aorere,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Arahanga,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Arch Hill,Grey Lynn,mapped,previous-mapping,
Ardmore,,not mapped,,outer Auckland — outside coverage area
Armour Bay,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Army Bay,,not mapped,,outer Auckland — outside coverage area
Auckland Central East,Auckland Central,mapped,previous-mapping,
Auckland Central West,Auckland Central,mapped,previous-mapping,
Avondale South,Avondale,mapped,previous-mapping,
Avondale West,Avondale,mapped,previous-mapping,
Awaruku,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Awhitu,,not mapped,,outer Auckland — outside coverage area
Balmoral,Mount Eden,mapped,manual,
Baverstock Oaks,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Bayswater,Bayswater,mapped,exact,
Beachhaven North,Beach Haven,mapped,previous-mapping,
Beachhaven South,Beach Haven,mapped,previous-mapping,
Beachlands-Maraetai,Beachlands,mapped,previous-mapping,
Beaumont,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Birdwood East,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Birdwood West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Birkdale North,Birkdale,mapped,strip-direction,
Birkdale South,Birkdale,mapped,strip-direction,
Birkenhead East,Birkenhead,mapped,previous-mapping,
Bleakhouse,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Bledisloe Park,East Tāmaki,mapped,manual,
Blockhouse Bay,Blockhouse Bay,mapped,exact,
Bombay,,not mapped,,outer Auckland — outside coverage area
Bremner,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Browns Bay,Browns Bay,mapped,exact,
Buckland,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Bucklands Beach South,Howick,mapped,previous-mapping,
Bucklands and Eastern Beaches,Howick,mapped,previous-mapping,
Burbank,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Burswood,Burswood,mapped,exact,
Campbells Bay,Campbells Bay,mapped,exact,
Cape Rodney,,not mapped,,outer Auckland — outside coverage area
Cape Rodney South,,not mapped,,outer Auckland — outside coverage area
Castor Bay,Castor Bay,mapped,exact,
Chelsea,Birkenhead,mapped,previous-mapping,
Clendon North,,not mapped,,outer Auckland — outside coverage area
Clendon South,,not mapped,,outer Auckland — outside coverage area
Clevedon,,not mapped,,outer Auckland — outside coverage area
Clover Park,Clover Park,mapped,exact,
Cockle Bay,Cockle Bay,mapped,exact,
Crown Hill,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Crum Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Dairy Flat-Redvale,Albany,mapped,previous-mapping,
Dannemora,Dannemora,mapped,exact,
Dingwall,Henderson,mapped,previous-mapping,
Donegal Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Drury,,not mapped,,outer Auckland — outside coverage area
Durham Green,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Eden Road-Hill Top,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Eden Terrace,Eden Terrace,mapped,exact,
Edgewater,Panmure,mapped,previous-mapping,
Edmonton,Henderson,mapped,previous-mapping,
Ellerslie North,Ellerslie,mapped,previous-mapping,
Ellerslie South,Ellerslie,mapped,previous-mapping,
Elsmore Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Epsom Central,Epsom,mapped,previous-mapping,
Epsom North,Epsom,mapped,previous-mapping,
Epsom South,Epsom,mapped,previous-mapping,
Fairburn,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Fairdene,Henderson,mapped,previous-mapping,
Fairview,Glenfield,mapped,previous-mapping,
Favona North,Māngere,mapped,previous-mapping,
Favona South,Māngere,mapped,previous-mapping,
Favona West,Māngere,mapped,previous-mapping,
Ferguson,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Ferndale,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Forrest Hill,Forrest Hill,mapped,exact,
Freemans Bay,Freemans Bay,mapped,exact,
Fruitvale,New Lynn,mapped,previous-mapping,
Glamorgan,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Glen Eden East,Glen Eden,mapped,strip-direction,
Glen Innes East,Glen Innes,mapped,previous-mapping,
Glen Innes North,Glen Innes,mapped,previous-mapping,
Glen Innes West,Glen Innes,mapped,previous-mapping,
Glenavon,New Lynn,mapped,previous-mapping,
Glenbrook,,not mapped,,outer Auckland — outside coverage area
Glendene North,Glendene,mapped,strip-direction,
Glendene South,Glendene,mapped,strip-direction,
Glendhu,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Glendowie,Glendowie,mapped,exact,
Glenfield Central,Glenfield,mapped,previous-mapping,
Glenfield North,Glenfield,mapped,previous-mapping,
Golfland,Botany Downs,mapped,manual,
Grafton East,Grafton,mapped,previous-mapping,
Grafton West,Grafton,mapped,previous-mapping,
Grange,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Great Barrier Island,,not mapped,,outer Auckland — outside coverage area
Green Bay,Green Bay,mapped,exact,
Greenhithe,Greenhithe,mapped,exact,
Greenmount,East Tāmaki,mapped,manual,
Grey Lynn East,Grey Lynn,mapped,previous-mapping,
Grey Lynn West,Grey Lynn,mapped,previous-mapping,
Gulf Harbour,,not mapped,,outer Auckland — outside coverage area
Half Moon Bay,Half Moon Bay,mapped,exact,
Hamlin,Panmure,mapped,previous-mapping,
Harania East,Māngere,mapped,previous-mapping,
Harania North,Māngere,mapped,previous-mapping,
Harania West,Māngere,mapped,previous-mapping,
Hatfields Beach,,not mapped,,outer Auckland — outside coverage area
Hauraki,Hauraki,mapped,exact,
Helensville,,not mapped,,outer Auckland — outside coverage area
Helensville South,,not mapped,,outer Auckland — outside coverage area
Henderson North,Henderson,mapped,previous-mapping,
Henderson South,Henderson,mapped,previous-mapping,
Henderson West,Henderson,mapped,previous-mapping,
Herald,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Herne Bay,Herne Bay,mapped,exact,
Highbrook,East Tāmaki,mapped,manual,
Highland Park,Highland Park,mapped,exact,
Hillpark,Hillpark,mapped,exact,
Hillsborough East,Hillsborough,mapped,previous-mapping,
Hillsborough West,Hillsborough,mapped,previous-mapping,
Hingaia,,not mapped,,outer Auckland — outside coverage area
Hobsonville East,Hobsonville,mapped,previous-mapping,
Hobsonville South,Hobsonville,mapped,previous-mapping,
Homai East,,not mapped,,outer Auckland — outside coverage area
Homai West,,not mapped,,outer Auckland — outside coverage area
Howick Central,Howick,mapped,previous-mapping,
Howick South,Howick,mapped,previous-mapping,
Howick West,Howick,mapped,previous-mapping,
Huapai,,not mapped,,outer Auckland — outside coverage area
Hunua,,not mapped,,outer Auckland — outside coverage area
Hyperion,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Inlet-Hobson Bay,,not mapped,,water body / inlet / island
Inlet-Port Fitzroy,,not mapped,,water body / inlet / island
Islands-Motutapu Rangitoto Rakino,,not mapped,,water body / inlet / island
Kaipatiki,Northcote,mapped,previous-mapping,
Karekare,,not mapped,,outer Auckland — outside coverage area
Kaukapakapa,,not mapped,,outer Auckland — outside coverage area
Kaukapakapa Rural,,not mapped,,outer Auckland — outside coverage area
Kauri Park,Albany,mapped,previous-mapping,
Kaurilands,Titirangi,mapped,previous-mapping,
Kawakawa-Orere,,not mapped,,outer Auckland — outside coverage area
Kawau,,not mapped,,outer Auckland — outside coverage area
Kelston Central,New Lynn,mapped,previous-mapping,
Kilkenny,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Kingdale,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Kingseat,,not mapped,,outer Auckland — outside coverage area
Kingsland,Kingsland,mapped,exact,
Kohimarama East,Kohimarama,mapped,previous-mapping,
Kohimarama West,Kohimarama,mapped,previous-mapping,
Kohuora,Papatoetoe,mapped,previous-mapping,
Konini,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Kumeu East,,not mapped,,outer Auckland — outside coverage area
Kumeu West,,not mapped,,outer Auckland — outside coverage area
Laingholm,Laingholm,mapped,exact,
Lake Pupuke,Milford,mapped,previous-mapping,
Leabank,Ōtara,mapped,previous-mapping,
Leigh,,not mapped,,outer Auckland — outside coverage area
Long Bay,Long Bay,mapped,exact,
Lucken Point,West Harbour,mapped,previous-mapping,
Lynfield North,Mount Roskill,mapped,previous-mapping,
Lynfield South,Mount Roskill,mapped,previous-mapping,
Lynnmall,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Mairangi Bay,Mairangi Bay,mapped,exact,
Mangere Bridge,Māngere Bridge,mapped,exact,
Mangere Central,Māngere,mapped,previous-mapping,
Mangere East,Māngere East,mapped,exact,
Mangere South,Māngere,mapped,previous-mapping,
Mangere Station,Māngere,mapped,previous-mapping,
Manly,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Manukau Central,Manukau City Centre,mapped,manual,
Manurewa Central,Manurewa,mapped,strip-direction,
Manurewa East,Manurewa East,mapped,exact,
Mascot,Māngere,mapped,previous-mapping,
Massey Park,Massey,mapped,previous-mapping,
Massey West,Massey,mapped,previous-mapping,
Matakana,,not mapped,,outer Auckland — outside coverage area
Matipo,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Maungawhau,Mount Eden,mapped,previous-mapping,
McLaren Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Mcleod,Glenfield,mapped,previous-mapping,
Meadowbank North,Meadowbank,mapped,previous-mapping,
Meadowbank South,Meadowbank,mapped,previous-mapping,
Meadowland,Botany Downs,mapped,manual,
Mellons Bay,Mellons Bay,mapped,exact,
Middlemore,Papatoetoe,mapped,previous-mapping,
Mill Road,,not mapped,,outer Auckland — outside coverage area
Millhouse,Botany Downs,mapped,manual,
Mission Bay,Mission Bay,mapped,exact,
Mission Heights,,not mapped,,outer Auckland — outside coverage area
Monarch Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Mt Albert Central,Mount Albert,mapped,previous-mapping,
Mt Eden East,Mount Eden,mapped,previous-mapping,
Mt Eden North,Mount Eden,mapped,previous-mapping,
Mt Eden South,Mount Eden,mapped,previous-mapping,
Mt Hobson,Greenlane,mapped,previous-mapping,
Mt St John,Greenlane,mapped,previous-mapping,
Mt Victoria,Devonport,mapped,previous-mapping,
Mt Wellington Domain,Penrose,mapped,previous-mapping,
Mt Wellington North,Penrose,mapped,previous-mapping,
Mt Wellington South,Penrose,mapped,previous-mapping,
Mt Wellington West,Penrose,mapped,previous-mapping,
Muriwai Beach,,not mapped,,outer Auckland — outside coverage area
Muriwai Valley,,not mapped,,outer Auckland — outside coverage area
Murrays Bay,Murrays Bay,mapped,exact,
Murvale,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Narrow Neck,Narrow Neck,mapped,exact,
New Lynn North,New Lynn,mapped,previous-mapping,
New Lynn South,New Lynn,mapped,previous-mapping,
New Windsor,New Windsor,mapped,exact,
Newmarket,Newmarket,mapped,exact,
Newton,Grey Lynn,mapped,previous-mapping,
North Harbour East,Albany,mapped,previous-mapping,
North Harbour West,Albany,mapped,previous-mapping,
Northcote South,Northcote,mapped,previous-mapping,
Northcross,Northcross,mapped,exact,
Oaktree,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Ocean View,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Oceanic-Auckland Region West,,not mapped,,water body / inlet / island
Omaha,,not mapped,,outer Auckland — outside coverage area
One Tree Hill Central,Greenlane,mapped,previous-mapping,
One Tree Hill East,Greenlane,mapped,previous-mapping,
Onehunga North East,Onehunga,mapped,previous-mapping,
Onehunga North West,Onehunga,mapped,previous-mapping,
Onehunga South East,Onehunga,mapped,previous-mapping,
Onehunga South West,Onehunga,mapped,previous-mapping,
