source_area,linz_suburb,status,via,reason_if_not_mapped
Aka Aka,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Akoranga,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Albany Central,Albany,mapped,previous-mapping,
Albany Heights,Albany Heights,mapped,exact,
Albany South,Albany,mapped,previous-mapping,
Albany West,Albany,mapped,previous-mapping,
Alfriston,Alfriston,mapped,exact,
Algies Bay-Scotts Landing,,not mapped,,outer Auckland — outside coverage area
Anselmi Ridge,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Anzac Avenue,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Aorere Central,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Aorere North,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Aorere South,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Ararimu,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Ardmore,,not mapped,,outer Auckland — outside coverage area
Army Bay,,not mapped,,outer Auckland — outside coverage area
Auckland-University,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Avondale Central (Auckland),Avondale,mapped,previous-mapping,
Avondale North (Auckland),Avondale,mapped,previous-mapping,
Avondale Rosebank,Avondale,mapped,previous-mapping,
Avondale South (Auckland),Avondale,mapped,previous-mapping,
Avondale West (Auckland),Avondale,mapped,previous-mapping,
Awaruku,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Awhitu,,not mapped,,outer Auckland — outside coverage area
Balmoral,Mount Eden,mapped,manual,
Baverstock,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Bayswater,Bayswater,mapped,exact,
Bayview East,Bayview,mapped,strip-direction,
Bayview South,Bayview,mapped,strip-direction,
Bayview West,Bayview,mapped,strip-direction,
Beach Haven East,Beach Haven,mapped,previous-mapping,
Beach Haven South,Beach Haven,mapped,previous-mapping,
Beach Haven West,Beach Haven,mapped,previous-mapping,
Belmont (Auckland),Belmont,mapped,strip-direction,
Birkdale North,Birkdale,mapped,strip-direction,
Birkdale South,Birkdale,mapped,strip-direction,
Birkenhead North,Birkenhead,mapped,previous-mapping,
Birkenhead South,Birkenhead,mapped,previous-mapping,
Birkenhead West,Birkenhead,mapped,previous-mapping,
Blockhouse Bay East,Blockhouse Bay,mapped,previous-mapping,
Blockhouse Bay North,Blockhouse Bay,mapped,previous-mapping,
Blockhouse Bay North East,Blockhouse Bay,mapped,previous-mapping,
Blockhouse Bay South,Blockhouse Bay,mapped,previous-mapping,
Bombay Hills,,not mapped,,outer Auckland — outside coverage area
Botany Downs East,Botany Downs,mapped,strip-direction,
Botany Downs West,Botany Downs,mapped,strip-direction,
Botany East,Botany Downs,mapped,manual,
Botany North,Botany Downs,mapped,manual,
Botany South,Botany Downs,mapped,manual,
Browns Bay Central,Browns Bay,mapped,previous-mapping,
Browns Bay South East,Browns Bay,mapped,previous-mapping,
Browns Bay South West,Browns Bay,mapped,previous-mapping,
Buckland,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Bucklands Beach Central,Bucklands Beach,mapped,strip-direction,
Bucklands Beach North,Bucklands Beach,mapped,strip-direction,
Bucklands Beach South,Bucklands Beach,mapped,strip-direction,
Burbank,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Burswood,Burswood,mapped,exact,
Campbells Bay,Campbells Bay,mapped,exact,
Cape Hill,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Cape Rodney,,not mapped,,outer Auckland — outside coverage area
Castor Bay,Castor Bay,mapped,exact,
Chapel Downs,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Chatswood,Chatswood,mapped,exact,
Cheltenham,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Clarks Beach,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Clendon Park East,Clendon Park,mapped,strip-direction,
Clendon Park North,Clendon Park,mapped,strip-direction,
Clendon Park West,Clendon Park,mapped,strip-direction,
Clevedon,,not mapped,,outer Auckland — outside coverage area
Clover Park North,Clover Park,mapped,strip-direction,
Clover Park South,Clover Park,mapped,strip-direction,
Cloverlea (Auckland),,not mapped,,outside 62 suburb coverage — small area or low rental activity
Coatesville,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Cockle Bay,Cockle Bay,mapped,exact,
Conifer Grove East,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Conifer Grove West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Dairy Flat North,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Dairy Flat South,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Dairy Flat West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Dannemora North,Dannemora,mapped,previous-mapping,
Dannemora South,Dannemora,mapped,previous-mapping,
Devonport,Devonport,mapped,exact,
Dingwall,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Dome Valley-Matakana,,not mapped,,outer Auckland — outside coverage area
Donegal Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Drury,,not mapped,,outer Auckland — outside coverage area
Drury Rural,,not mapped,,outer Auckland — outside coverage area
East Tamaki,East Tāmaki,mapped,exact,
East Tamaki Heights,East Tāmaki Heights,mapped,exact,
Eastern Beach,Eastern Beach,mapped,exact,
