source_area,master_suburb,status,reason_if_not_mapped
Albany Central,Albany,mapped,
Albany Heights,Albany,mapped,
Albany South,Albany,mapped,
Albany West,Albany,mapped,
Avondale Central (Auckland),Avondale,mapped,
Avondale North (Auckland),Avondale,mapped,
Avondale Rosebank,Avondale,mapped,
Avondale South (Auckland),Avondale,mapped,
Avondale West (Auckland),Avondale,mapped,
Balmoral,Balmoral,mapped,
Beach Haven East,Beachhaven,mapped,
Beach Haven South,Beachhaven,mapped,
Beach Haven West,Beachhaven,mapped,
Birkenhead North,Birkenhead,mapped,
Birkenhead South,Birkenhead,mapped,
Birkenhead West,Birkenhead,mapped,
Blockhouse Bay East,Blockhouse Bay,mapped,
Blockhouse Bay North,Blockhouse Bay,mapped,
Blockhouse Bay North East,Blockhouse Bay,mapped,
Blockhouse Bay South,Blockhouse Bay,mapped,
Botany Downs East,Botany,mapped,
Botany Downs West,Botany,mapped,
Botany East,Botany,mapped,
Botany Junction,Botany,mapped,
Botany North,Botany,mapped,
Botany South,Botany,mapped,
Browns Bay Central,Browns Bay,mapped,
Browns Bay South East,Browns Bay,mapped,
Browns Bay South West,Browns Bay,mapped,
Dannemora North,Dannemora,mapped,
Dannemora South,Dannemora,mapped,
Devonport,Devonport,mapped,
Eden Terrace,Eden Terrace,mapped,
Ellerslie Central,Ellerslie,mapped,
Ellerslie East,Ellerslie,mapped,
Ellerslie South,Ellerslie,mapped,
Ellerslie West,Ellerslie,mapped,
Epsom Central-North,Epsom,mapped,
Epsom Central-South,Epsom,mapped,
Epsom East,Epsom,mapped,
Epsom North,Epsom,mapped,
Epsom South,Epsom,mapped,
Freemans Bay,Auckland Central,mapped,
Glen Innes East-Wai O Taiki Bay,Glen Innes,mapped,
Glen Innes West,Glen Innes,mapped,
Glendowie North,Glendowie,mapped,
Glendowie South,Glendowie,mapped,
Glenfield Central,Glenfield,mapped,
Glenfield East,Glenfield,mapped,
Glenfield North,Glenfield,mapped,
Glenfield South West,Glenfield,mapped,
Glenfield West,Glenfield,mapped,
Grafton,Grafton,mapped,
Greenlane North,Greenlane,mapped,
Greenlane South,Greenlane,mapped,
Grey Lynn Central,Grey Lynn,mapped,
Grey Lynn East,Grey Lynn,mapped,
Grey Lynn North,Grey Lynn,mapped,
Grey Lynn West,Grey Lynn,mapped,
Henderson Central,Henderson,mapped,
Henderson East,Henderson,mapped,
Henderson Larnoch,Henderson,mapped,
Henderson Lincoln South,Henderson,mapped,
Henderson Lincoln West,Henderson,mapped,
Henderson North,Henderson,mapped,
Henderson North East,Henderson,mapped,
Henderson Valley,Henderson,mapped,
Henderson Valley Park,Henderson,mapped,
Herne Bay,Ponsonby,mapped,
Hillsborough East (Auckland),Hillsborough,mapped,
Hillsborough North (Auckland),Hillsborough,mapped,
Hillsborough South (Auckland),Hillsborough,mapped,
Hillsborough West (Auckland),Hillsborough,mapped,
Hobson Ridge Central,Auckland Central,mapped,
Hobson Ridge North,Auckland Central,mapped,
Hobson Ridge South,Auckland Central,mapped,
Hobsonville,Hobsonville,mapped,
Hobsonville Point,Hobsonville,mapped,
Howick Central,Howick,mapped,
Howick East,Howick,mapped,
Howick West,Howick,mapped,
Kingsland,Kingsland,mapped,
Kohimarama,Kohimarama,mapped,
Mangere Bridge,Mangere Bridge,mapped,
Mangere Bridge Ambury,Mangere Bridge,mapped,
Mangere Central,Mangere,mapped,
Mangere East,Mangere,mapped,
Mangere Mascot,Mangere,mapped,
Mangere Mountain View,Mangere,mapped,
Mangere North,Mangere,mapped,
Mangere South,Mangere,mapped,
Mangere South East,Mangere,mapped,
Mangere West,Mangere,mapped,
Manukau Central,Manukau,mapped,
Massey Central,Massey,mapped,
Massey East,Massey,mapped,
Massey Road North,Massey,mapped,
Massey Road South,Massey,mapped,
Massey Road West,Massey,mapped,
Massey Royal Road West,Massey,mapped,
Massey South,Massey,mapped,
Massey West,Massey,mapped,
Meadowbank East,Meadowbank,mapped,
Meadowbank West,Meadowbank,mapped,
Milford Central,Milford,mapped,
Milford West,Milford,mapped,
Mission Bay,Mission Bay,mapped,
Mount Albert Central,Mt Albert,mapped,
Mount Albert North,Mt Albert,mapped,
Mount Albert South,Mt Albert,mapped,
Mount Albert West,Mt Albert,mapped,
Mount Eden East,Mt Eden,mapped,
Mount Eden North,Mt Eden,mapped,
Mount Eden North East,Mt Eden,mapped,
Mount Eden South,Mt Eden,mapped,
Mount Eden West,Mt Eden,mapped,
Mount Roskill Central North,Mt Roskill,mapped,
Mount Roskill Central South,Mt Roskill,mapped,
Mount Roskill North,Mt Roskill,mapped,
Mount Roskill South,Mt Roskill,mapped,
New Lynn Central,New Lynn,mapped,
New Lynn Central South,New Lynn,mapped,
New Lynn North,New Lynn,mapped,
New Lynn North West,New Lynn,mapped,
New Lynn Seabrook,New Lynn,mapped,
New Lynn South,New Lynn,mapped,
Newmarket,Newmarket,mapped,
Northcote Central (Auckland),Northcote,mapped,
Northcote Point (Auckland),Northcote,mapped,
Northcote South (Auckland),Northcote,mapped,
Northcote Tuff Crater,Northcote,mapped,
Onehunga Central,Onehunga,mapped,
Onehunga North,Onehunga,mapped,
Onehunga West,Onehunga,mapped,
Onehunga-Te Papapa Industrial,Onehunga,mapped,
Otahuhu Central,Otahuhu,mapped,
Otahuhu East,Otahuhu,mapped,
Otahuhu North,Otahuhu,mapped,
Otahuhu South,Otahuhu,mapped,
Otahuhu South West,Otahuhu,mapped,
Otara Central,Otara,mapped,
Otara East,Otara,mapped,
Otara South,Otara,mapped,
Otara West,Otara,mapped,
Pakuranga Central,Pakuranga,mapped,
Pakuranga Heights East,Pakuranga,mapped,
Pakuranga Heights North West,Pakuranga,mapped,
Pakuranga Heights South West,Pakuranga,mapped,
Pakuranga West,Pakuranga,mapped,
Panmure East,Panmure,mapped,
Panmure West,Panmure,mapped,
Papatoetoe Central,Papatoetoe,mapped,
Papatoetoe East,Papatoetoe,mapped,
Papatoetoe North,Papatoetoe,mapped,
Papatoetoe South,Papatoetoe,mapped,
Papatoetoe South West,Papatoetoe,mapped,
Papatoetoe West,Papatoetoe,mapped,
Parnell East,Parnell,mapped,
Parnell West,Parnell,mapped,
Penrose,Penrose,mapped,
Point Chevalier East,Point Chevalier,mapped,
Point Chevalier West,Point Chevalier,mapped,
Ponsonby East,Ponsonby,mapped,
Ponsonby West,Ponsonby,mapped,
Quay Street-Customs Street,Auckland Central,mapped,
Remuera Abbotts Park,Remuera,mapped,
Remuera East,Remuera,mapped,
Remuera North,Remuera,mapped,
Remuera South,Remuera,mapped,
Remuera Waiata,Remuera,mapped,
Remuera Waiatarua,Remuera,mapped,
Remuera Waitaramoa,Remuera,mapped,
Remuera West,Remuera,mapped,
Royal Oak East (Auckland),Royal Oak,mapped,
Royal Oak West (Auckland),Royal Oak,mapped,
Saint Marys Bay,Ponsonby,mapped,
Sandringham Central,Sandringham,mapped,
Sandringham East,Sandringham,mapped,
Sandringham North,Sandringham,mapped,
Sandringham West,Sandringham,mapped,
Shortland Street,Auckland Central,mapped,
St Lukes,St Lukes,mapped,
Sunnyhills West-Pakuranga North,Pakuranga,mapped,
Takapuna Central,Takapuna,mapped,
Takapuna South,Takapuna,mapped,
Takapuna West,Takapuna,mapped,
Three Kings East,Three Kings,mapped,
Three Kings West,Three Kings,mapped,
Titirangi South,Titirangi,mapped,
Totara Heights,Otara,mapped,
Totara Vale North,Otara,mapped,
Totara Vale South,Otara,mapped,
Victoria Park,Auckland Central,mapped,
Waitakere Ranges South,Waitakere,mapped,
Waterview,Waterview,mapped,
West Harbour Clearwater Cove,West Harbour,mapped,
West Harbour Luckens Point,West Harbour,mapped,
West Harbour West,West Harbour,mapped,
Wynyard-Viaduct,Auckland Central,mapped,
Aka Aka,,not mapped,outside 62 suburb coverage — small area or low rental activity
Akoranga,,not mapped,outside 62 suburb coverage — small area or low rental activity
Alfriston,,not mapped,outside 62 suburb coverage — small area or low rental activity
Algies Bay-Scotts Landing,,not mapped,outer Auckland — outside coverage area
